1,5,340,95,1,1,0
2,5,420,95,2,1,0
3,5,220,95,3,0,1
4,5,340,245,0,0,1
9,1,300,95,1,0,0
10,1,300,245,0,0,0
11,6,350,250,0,0,0
12,6,350,100,1,1,0
16,8,35,50,0,0,0
17,8,35,70,1,0,0
18,8,35,90,2,0,0
19,7,350,250,0,0,0
20,7,350,100,1,0,0
21,7,220,100,2,0,1
22,10,400,250,0,0,0
23,10,400,100,1,0,0
24,10,300,100,2,1,0
25,10,220,100,3,0,1
26,11,350,250,0,0,0
27,11,350,100,1,0,0
28,11,220,100,2,0,1
29,12,400,250,0,0,0
30,12,325,100,1,1,0
31,12,220,100,2,0,1
32,3,300,250,0,0,0
33,3,300,75,1,0,0
34,3,300,165,2,0,0
35,4,340,245,0,0,1
36,4,340,95,1,1,0
37,4,220,95,2,0,1
38,9,295,245,0,0,1
39,9,295,95,1,1,0
40,9,395,95,2,0,0
41,9,170,95,3,0,1
42,13,400,250,0,0,0
43,13,400,100,1,0,0
44,13,290,100,2,1,0
45,13,220,100,3,0,1
46,6,220,100,2,0,1
47,14,500,250,0,0,0
48,14,500,100,1,0,0
49,14,400,100,2,1,0
50,14,300,100,3,1,0
51,14,250,100,4,1,0
52,15,500,250,0,0,0
53,15,500,100,1,0,0
54,15,400,100,2,1,0
55,15,300,100,3,1,0
56,15,250,100,4,1,0
57,16,500,250,0,0,0
58,16,500,100,1,0,0
59,16,410,100,2,1,0
60,16,320,100,3,1,0
61,16,220,100,4,0,1
